,Year,Ranking,Team,Group,Matches Played,Matches Won,Matches Drawn,Matches Lost,Goals For,Goals Against,Goal Difference,Points
0,1930,1,Uruguay,3,4,4,0,0,15,3,+12,8
1,1930,2,Argentina,1,5,4,0,1,18,9,+9,8
2,1930,3,United States,4,3,2,0,1,7,6,+1,4
3,1930,4,Yugoslavia,2,3,2,0,1,7,7,0,4
4,1930,Eliminated in the group stage,,,,,,,,,,
5,1930,5,Chile,1,3,2,0,1,5,3,+2,4
6,1930,6,Brazil,2,2,1,0,1,5,2,+3,2
7,1930,7,France,1,3,1,0,2,4,3,+1,2
8,1930,8,Romania,3,2,1,0,1,3,5,−2,2
9,1930,9,Paraguay,4,2,1,0,1,1,3,−2,2
10,1930,10,Peru,3,2,0,0,2,1,4,−3,0
11,1930,11,Belgium,4,2,0,0,2,0,4,−4,0
12,1930,12,Bolivia,2,2,0,0,2,0,8,−8,0
13,1930,13,Mexico,1,3,0,0,3,4,13,−9,0
14,1934,1,Italy,5,4,1,0,12,3,+9,9,
15,1934,2,Czechoslovakia,4,3,0,1,9,6,+3,6,
16,1934,3,Germany,4,3,0,1,11,8,+3,6,
17,1934,4,Austria,4,2,0,2,7,7,0,4,
18,1934,Eliminated in the quarter-finals,,,,,,,,,,
19,1934,5,Spain,3,1,1,1,4,3,+1,3,
20,1934,6,Hungary,2,1,0,1,5,4,+1,2,
21,1934,7,Switzerland,2,1,0,1,5,5,0,2,
22,1934,8,Sweden,2,1,0,1,4,4,0,2,
23,1934,Eliminated in the round of 16,,,,,,,,,,
24,1934,9,Argentina,1,0,0,1,2,3,−1,0,
25,1934,France,1,0,0,1,2,3,−1,0,,
26,1934,Netherlands,1,0,0,1,2,3,−1,0,,
27,1934,12,Romania,1,0,0,1,1,2,−1,0,
28,1934,13,Egypt,1,0,0,1,2,4,−2,0,
29,1934,14,Brazil,1,0,0,1,1,3,−2,0,
30,1934,15,Belgium,1,0,0,1,2,5,−3,0,
31,1934,16,United States,1,0,0,1,1,7,−6,0,
32,1938,1,Italy,4,4,0,0,11,5,+6,8,
33,1938,2,Hungary,4,3,0,1,15,5,+10,6,
34,1938,3,Brazil,5,3,1,1,14,11,+3,7,
35,1938,4,Sweden,3,1,0,2,11,9,+2,2,
36,1938,Eliminated in the quarter-finals,,,,,,,,,,
37,1938,5,Czechoslovakia,3,1,1,1,5,3,+2,3,
38,1938,6,Switzerland,3,1,1,1,5,5,0,3,
39,1938,7,Cuba,3,1,1,1,5,12,−7,3,
40,1938,8,France,2,1,0,1,4,4,0,2,
41,1938,Eliminated in the round of 16,,,,,,,,,,
42,1938,9,Romania,2,0,1,1,4,5,-1,1,
43,1938,10,Germany,2,0,1,1,3,5,–2,1,
44,1938,11,Poland,1,0,0,1,5,6,−1,0,
45,1938,12,Norway,1,0,0,1,1,2,−1,0,
46,1938,13,Belgium,1,0,0,1,1,3,−2,0,
47,1938,14,Netherlands,1,0,0,1,0,3,−3,0,
48,1938,15,Dutch East Indies,1,0,0,1,0,6,−6,0,
49,1938,16,Austria,Withdrew,,,,,,,,
50,1950,1,Uruguay,4,4,3,1,0,15,5,+10,7
51,1950,2,Brazil,1,6,4,1,1,22,6,+16,9
52,1950,3,Sweden,3,5,2,1,2,11,15,−4,5
53,1950,4,Spain,2,6,3,1,2,10,12,−2,7
54,1950,Eliminated in the first round,,,,,,,,,,
55,1950,5,Yugoslavia,1,3,2,0,1,7,3,+4,4
56,1950,6,Switzerland,1,3,1,1,1,4,6,−2,3
57,1950,7,Italy,3,2,1,0,1,4,3,+1,2
58,1950,8,England,2,3,1,0,2,2,2,0,2
59,1950,9,Chile,2,3,1,0,2,5,6,−1,2
60,1950,10,United States,2,3,1,0,2,4,8,−4,2
61,1950,11,Paraguay,3,2,0,1,1,2,4,−2,1
62,1950,12,Mexico,1,3,0,0,3,2,10,−8,0
63,1950,13,Bolivia,4,1,0,0,1,0,8,−8,0
64,1954,1,West Germany,2,6,5,0,1,25,14,+11,10
65,1954,2,Hungary,2,5,4,0,1,27,10,+17,8
66,1954,3,Austria,3,5,4,0,1,17,12,+5,8
67,1954,4,Uruguay,3,5,3,0,2,16,9,+7,6
68,1954,Eliminated in the quarter-finals,,,,,,,,,,
69,1954,5,Brazil,1,3,1,1,1,8,5,+3,3
70,1954,6,England,4,3,1,1,1,8,8,0,3
71,1954,7,Yugoslavia,1,3,1,1,1,2,3,−1,3
72,1954,8,Switzerland,4,4,2,0,2,11,11,0,2
73,1954,Eliminated in the group stage,,,,,,,,,,
74,1954,9,Turkey,2,3,1,0,2,10,11,−1,2
75,1954,10,Italy,4,3,1,0,2,6,7,−1,2
76,1954,11,France,1,2,1,0,1,3,3,0,2
77,1954,12,Belgium,4,2,0,1,1,5,8,−3,1
78,1954,13,Mexico,1,2,0,0,2,2,8,−6,0
79,1954,14,Czechoslovakia,3,2,0,0,2,0,7,−7,0
80,1954,15,Scotland,3,2,0,0,2,0,8,−8,0
81,1954,16,South Korea,2,2,0,0,2,0,16,−16,0
82,1958,1,Brazil,4,6,5,1,0,16,4,+12,11
83,1958,2,Sweden,3,6,4,1,1,12,7,+5,9
84,1958,3,France,2,6,4,0,2,23,15,+8,8
85,1958,4,West Germany,1,6,2,2,2,12,14,−2,6
86,1958,Eliminated in the quarter-finals,,,,,,,,,,
87,1958,5,Yugoslavia,2,4,1,2,1,7,7,0,4
88,1958,6,Wales,3,5,1,3,1,4,4,0,3
89,1958,7,Soviet Union,4,5,2,1,2,5,6,−1,3
90,1958,8,Northern Ireland,1,5,2,1,2,6,10,−4,3
91,1958,Eliminated in the group stage,,,,,,,,,,
92,1958,9,Czechoslovakia,1,4,1,1,2,9,6,+3,3
93,1958,10,Hungary,3,4,1,1,2,7,5,+2,3
94,1958,11,England,4,4,0,3,1,4,5,−1,3
95,1958,12,Paraguay,2,3,1,1,1,9,12,−3,3
96,1958,13,Argentina,1,3,1,0,2,5,10,−5,2
97,1958,14,Scotland,2,3,0,1,2,4,6,−2,1
98,1958,15,Austria,4,3,0,1,2,2,7,−5,1
99,1958,16,Mexico,3,3,0,1,2,1,8,−7,1
100,1962,1,Brazil,3,6,5,1,0,14,5,+9,11
101,1962,2,Czechoslovakia,3,6,3,1,2,7,7,0,7
102,1962,3,Chile,2,6,4,0,2,10,8,+2,8
103,1962,4,Yugoslavia,1,6,3,0,3,10,7,+3,6
104,1962,Eliminated in the quarter-finals,,,,,,,,,,
105,1962,5,Hungary,4,4,2,1,1,8,3,+5,5
106,1962,6,Soviet Union,1,4,2,1,1,9,7,+2,5
107,1962,7,West Germany,2,4,2,1,1,4,2,+2,5
108,1962,8,England,4,4,1,1,2,5,6,−1,3
109,1962,Eliminated in the group stage,,,,,,,,,,
110,1962,9,Italy,2,3,1,1,1,3,2,+1,3
111,1962,10,Argentina,4,3,1,1,1,2,3,−1,3
112,1962,11,Mexico,3,3,1,0,2,3,4,−1,2
113,1962,12,Spain,3,3,1,0,2,2,3,−1,2
114,1962,13,Uruguay,1,3,1,0,2,4,6,−2,2
115,1962,14,Colombia,1,3,0,1,2,5,11,−6,1
116,1962,15,Bulgaria,4,3,0,1,2,1,7,−6,1
117,1962,16,Switzerland,2,3,0,0,3,2,8,−6,0
118,1966,1,England,1,6,5,1,0,11,3,+8,11
119,1966,2,West Germany,2,6,4,1,1,15,6,+9,9
120,1966,3,Portugal,3,6,5,0,1,17,8,+9,10
121,1966,4,Soviet Union,4,6,4,0,2,10,6,+4,8
122,1966,Eliminated in the quarter-finals,,,,,,,,,,
123,1966,5,Argentina,2,4,2,1,1,4,2,+2,5
124,1966,6,Hungary,3,4,2,0,2,8,7,+1,4
125,1966,7,Uruguay,1,4,1,2,1,2,5,−3,4
126,1966,8,North Korea,4,4,1,1,2,5,9,−4,3
127,1966,Eliminated in the group stage,,,,,,,,,,
128,1966,9,Italy,4,3,1,0,2,2,2,0,2
129,1966,10,Spain,2,3,1,0,2,4,5,−1,2
130,1966,11,Brazil,3,3,1,0,2,4,6,−2,2
131,1966,12,Mexico,1,3,0,2,1,1,3,−2,2
132,1966,13,Chile,4,3,0,1,2,2,5,−3,1
133,1966,France,1,3,0,1,2,2,5,−3,1,
134,1966,15,Bulgaria,3,3,0,0,3,1,8,−7,0
135,1966,16,Switzerland,2,3,0,0,3,1,9,−8,0
136,1970,1,Brazil,3,6,6,0,0,19,7,+12,12
137,1970,2,Italy,2,6,3,2,1,10,8,+2,8
138,1970,3,West Germany,4,6,5,0,1,17,10,+7,10
139,1970,4,Uruguay,2,6,2,1,3,4,5,−1,5
140,1970,Eliminated in the quarter-finals,,,,,,,,,,
141,1970,5,Soviet Union,1,4,2,1,1,6,2,+4,5
142,1970,6,Mexico,1,4,2,1,1,6,4,+2,5
143,1970,7,Peru,4,4,2,0,2,9,9,0,4
144,1970,8,England,3,4,2,0,2,4,4,0,4
145,1970,Eliminated in the group stage,,,,,,,,,,
146,1970,9,Sweden,2,3,1,1,1,2,2,0,3
147,1970,10,Belgium,1,3,1,0,2,4,5,−1,2
148,1970,Romania,3,3,1,0,2,4,5,−1,2,
149,1970,12,Israel*,2,3,0,2,1,1,3,−2,2
150,1970,13,Bulgaria**,4,3,0,1,2,5,9,−4,1
151,1970,14,Morocco,4,3,0,1,2,2,6,−4,1
152,1970,15,Czechoslovakia,3,3,0,0,3,2,7,−5,0
153,1970,16,El Salvador,1,3,0,0,3,0,9,−9,0
154,1974,1,West Germany,1/B,7,6,0,1,13,4,+9,12
155,1974,2,Netherlands,3/A,7,5,1,1,15,3,+12,11
156,1974,3,Poland,4/B,7,6,0,1,16,5,+11,12
157,1974,4,Brazil,2/A,7,3,2,2,6,4,+2,8
158,1974,Eliminated in the second group stage,,,,,,,,,,
159,1974,5,Sweden,3/B,6,2,2,2,7,6,+1,6
160,1974,6,East Germany,1/A,6,2,2,2,5,5,0,6
161,1974,7,Yugoslavia,2/B,6,1,2,3,12,7,+5,4
162,1974,8,Argentina,4/A,6,1,2,3,9,12,−3,4
163,1974,Eliminated in the first group stage,,,,,,,,,,
164,1974,9,Scotland,2,3,1,2,0,3,1,+2,4
