,rating,is_host,points_per_match,interaction
42,2056.0,0.0,2.6666666666666665,0.0
44,1872.0,0.0,2.0,0.0
54,2079.0,0.0,1.0,0.0
68,1806.0,0.0,1.0,0.0
72,1765.0,0.0,0.3333333333333333,0.0
94,1732.5,1.0,1.75,1732.5
96,2086.0,0.0,1.5,0.0
98,1786.0,0.0,1.0,0.0
120,1913.0,0.0,2.142857142857143,0.0
123,1894.0,0.0,1.5714285714285714,0.0
125,1921.0,0.0,2.2,0.0
131,1847.0,1.0,1.0,1847.0
134,1856.0,0.0,1.3333333333333333,0.0
141,1763.0,0.0,0.0,0.0
149,1801.0,1.0,2.2,1801.0
168,2038.0,1.0,2.7142857142857144,2038.0
169,2071.0,0.0,1.8571428571428572,0.0
170,1874.0,0.0,2.142857142857143,0.0
171,1926.0,0.0,1.7142857142857142,0.0
172,1991.0,0.0,2.2,0.0
173,1807.0,0.0,2.0,0.0
174,2084.0,0.0,2.0,0.0
178,1865.0,0.0,1.75,0.0
181,1843.0,0.0,1.25,0.0
183,1724.0,0.0,0.75,0.0
188,1839.0,0.0,1.0,0.0
189,1558.0,0.0,1.0,0.0
190,1690.0,0.0,0.6666666666666666,0.0
194,1810.0,0.0,0.3333333333333333,0.0
196,1817.0,0.0,0.3333333333333333,0.0
198,1707.0,0.0,0.0,0.0
200,1912.3333333333333,0.0,2.4285714285714284,0.0
201,1969.0,0.0,2.142857142857143,0.0
202,1899.0,1.0,2.2857142857142856,1899.0
203,1903.6666666666667,0.0,1.8571428571428572,0.0
204,2032.0,0.0,2.4,0.0
205,1982.0,0.0,2.2,0.0
206,1956.5,0.0,2.2,0.0
207,1795.0,0.0,1.4,0.0
208,1951.6666666666667,0.0,2.25,0.0
209,1742.0,0.0,2.0,0.0
210,1993.6666666666667,0.0,1.75,0.0
211,1765.5,0.0,1.5,0.0
212,1544.0,0.0,1.5,0.0
213,1909.3333333333333,0.0,1.25,0.0
214,1886.3333333333333,0.0,1.0,0.0
217,1749.0,0.0,1.0,0.0
220,1821.0,0.0,1.0,0.0
221,1869.3333333333333,0.0,0.6666666666666666,0.0
222,1514.0,0.0,0.6666666666666666,0.0
223,1671.0,0.0,0.3333333333333333,0.0
224,1806.0,0.0,0.3333333333333333,0.0
226,1822.5,0.0,0.3333333333333333,0.0
227,1582.0,0.0,0.0,0.0
259,1731.0,0.0,0.3333333333333333,0.0
263,2072.5,0.0,1.5714285714285714,0.0
265,1946.0,0.0,1.8571428571428572,0.0
268,1858.0,0.0,1.5,0.0
269,1773.0,0.0,1.1666666666666667,0.0
271,1934.0,0.0,1.3333333333333333,0.0
272,1998.0,0.0,1.3333333333333333,0.0
274,1780.5,0.0,0.3333333333333333,0.0
275,1801.0,0.0,0.3333333333333333,0.0
276,1902.0,0.0,0.0,0.0
277,1766.0,0.0,0.0,0.0
281,1891.0,0.0,1.7142857142857142,0.0
284,1700.0,0.0,1.8,0.0
293,1855.0,0.0,1.0,0.0
296,1817.0,0.0,1.0,0.0
303,1871.0,0.0,2.2857142857142856,0.0
304,1755.0,0.0,1.8571428571428572,0.0
306,1962.0,0.0,2.2,0.0
307,1949.0,0.0,1.6,0.0
308,1540.0,0.0,1.6,0.0
311,1804.0,0.0,1.75,0.0
314,1868.0,0.0,1.25,0.0
316,2015.0,0.0,1.0,0.0
322,2001.0,0.0,1.0,0.0
323,1815.0,0.0,1.0,0.0
324,1890.0,0.0,1.0,0.0
326,1819.0,0.0,1.0,0.0
328,1657.0,0.0,0.3333333333333333,0.0
329,2114.0,0.0,0.3333333333333333,0.0
331,1716.0,0.0,0.0,0.0
