,Team,Appearances,Record Streak,Active Streak,Debut,Most Recent Qualification,Best Result
0,Brazil,23,23,23,1930,2026,"Champions (1958, 1962, 1970, 1994, 2002)"
1,Germany[a],21,19,19,1934,2026,"Champions (1954, 1974,[b] 1990, 2014)"
2,Argentina,19,14,14,1930,2026,"Champions (1978,[b] 1986, 2022)"
3,Italy,18,14,0,1934,2014,"Champions (1934,[b] 1938, 1982, 2006)"
4,Mexico,18,9,9,1930,2026,"Quarter-finals (1970,[b] 1986[b])"
5,Spain,17,13,13,1934,2026,Champions (2010)
6,England,17,8,8,1950,2026,Champions (1966[b])
7,France,17,8,8,1930,2026,"Champions (1998,[b] 2018)"
8,Belgium,15,6,4,1930,2026,Third place (2018)
9,Uruguay,15,5,5,1930,2026,"Champions (1930,[b] 1950)"
10,Switzerland,13,6,6,1934,2026,"Quarter-finals (1934, 1938, 1954[b])"
11,Sweden,13,3,1,1934,2026,Runners-up (1958[b])
12,Serbia[c],13,4,0,1930,2022,"Fourth place (1930, 1962)"
13,South Korea,12,11,11,1954,2026,Fourth place (2002[d])
14,United States,12,7,2,1930,2026,Third place (1930)
15,Netherlands,12,3,2,1934,2026,"Runners-up (1974, 1978, 2010)"
16,Russia[e],11,4,0,1958,2018,Fourth place (1966)
17,Czech Republic[f],10,3,1,1934,2026,"Runners-up (1934, 1962)"
18,Portugal,9,7,7,1966,2026,Third place (1966)
19,Scotland,9,5,1,1954,2026,Group stage
20,Paraguay,9,4,1,1930,2026,Quarter-finals (2010)
21,Hungary,9,4,0,1934,1986,"Runners-up (1938, 1954)"
22,Poland,9,4,0,1938,2022,"Third place (1974, 1982)"
23,Slovakia[f],9,3,0,1934,2010,"Runners-up (1934, 1962)"
24,Chile,9,2,0,1930,2014,Third place (1962[b])
25,Japan,8,8,8,1998,2026,"Round of 16 (2002,[d] 2010, 2018, 2022)"
26,Cameroon,8,4,0,1982,2022,Quarter-finals (1990)
27,Austria,8,2,1,1934,2026,Third place (1954)
28,Australia,7,6,6,1974,2026,"Round of 16 (2006, 2022)"
29,Croatia,7,4,4,1998,2026,Runners-up (2018)
30,Iran,7,4,4,1978,2026,Group stage
31,Saudi Arabia,7,4,3,1994,2026,Round of 16 (1994)
32,Bulgaria,7,4,0,1962,1998,Fourth place (1994)
33,Morocco,7,3,3,1970,2026,Fourth place (2022)
34,Tunisia,7,3,3,1978,2026,Group stage
35,Colombia,7,3,1,1962,2026,Quarter-finals (2014)
36,Romania,7,3,0,1930,1998,Quarter-finals (1994)
37,Costa Rica,6,3,0,1990,2022,Quarter-finals (2014)
38,Nigeria,6,3,0,1994,2018,"Round of 16 (1994, 1998, 2014)"
39,Denmark,6,2,0,1986,2022,Quarter-finals (1998)
40,Ghana,5,3,2,2006,2026,Quarter-finals (2010)
41,Ecuador,5,2,2,2002,2026,Round of 16 (2006)
42,Algeria,5,2,1,1982,2026,Round of 16 (2014)
43,Peru,5,2,0,1930,2018,"Quarter-finals (1970, 1978)"
44,Senegal,4,3,3,2002,2026,Quarter-finals (2002)
45,Ivory Coast,4,3,1,2006,2026,Group stage
46,Norway,4,2,1,1938,2026,"Round of 16 (1938, 1998)"
47,South Africa,4,2,1,1998,2026,Group stage
48,Egypt,4,1,1,1934,2026,Round of 16 (1934)
49,Turkey,3,1,1,1954,2026,Third place (2002)
50,Canada,3,2,2,1986,2026,Group stage
51,Northern Ireland,3,2,0,1958,1986,Quarter-finals (1958)
52,Honduras,3,2,0,1982,2014,Group stage
53,Republic of Ireland,3,2,0,1990,2002,Quarter-finals (1990)
54,Greece,3,2,0,1994,2014,Round of 16 (2014)
55,New Zealand,3,1,1,1982,2026,Group stage
56,Bolivia,3,1,0,1930,1994,Group stage
57,DR Congo[g],2,2,1,1974,2026,Group stage
58,Qatar,2,2,2,2022,2026,Group stage
59,Haiti,2,1,1,1974,2026,Group stage
60,Bosnia and Herzegovina,2,1,1,2014,2026,Group stage
61,Panama,2,1,1,2018,2026,Group stage
62,Iraq,2,1,1,1986,2026,Group stage
63,Wales,2,1,0,1958,2022,Quarter-finals (1958)
64,North Korea,2,1,0,1966,2010,Quarter-finals (1966)
65,El Salvador,2,1,0,1970,1982,Group stage
66,Slovenia,2,1,0,2002,2010,Group stage
67,Cuba,1,1,0,1938,1938,Quarter-finals (1938)
68,Indonesia[h],1,1,0,1938,1938,Round of 16 (1938)
69,Israel,1,1,0,1970,1970,Group stage
70,East Germany[a],1,1,—,1974,1974,Quarter-finals[i] (1974)
71,Kuwait,1,1,0,1982,1982,Group stage
72,United Arab Emirates,1,1,0,1990,1990,Group stage
73,Jamaica,1,1,0,1998,1998,Group stage
74,China,1,1,0,2002,2002,Group stage
75,Angola,1,1,0,2006,2006,Group stage
76,Togo,1,1,0,2006,2006,Group stage
77,Trinidad and Tobago,1,1,0,2006,2006,Group stage
78,Ukraine,1,1,0,2006,2006,Quarter-finals (2006)
79,Iceland,1,1,0,2018,2018,Group stage
80,Cape Verde,1,1,1,2026,2026,TBD
81,Curaçao,1,1,1,2026,2026,TBD
82,Jordan,1,1,1,2026,2026,TBD
83,Uzbekistan,1,1,1,2026,2026,TBD
